Concept,Viewpoint,Subcategory,Category,Description,schema,ID,URL
Technological Concepts and Approaches,Technological Concepts and Approaches,Technological Concepts and Approaches,Technological Concepts and Approaches,Technological Concepts and Approaches,Technological Concepts and Approaches,Technological Concepts and Approaches,Technological Concepts and Approaches
Internet of Things,Technology Viewpoint,Paradigm,Technological Concepts and Approaches,"The Internet of Things (IoT) is an emerging paradigm that facilitates communication between electronic devices and sensors via the internet, aimed at enhancing various aspects of life. Utilizing smart devices and internet connectivity, IoT offers innovative solutions to address challenges across diverse sectors including business, government, and public/private industries worldwide.",Item,115,"https://doi.org/10.1186/s40537-019-0268-2, https://doi.org/10.1109/sm2c.2017.8071828"
Industry 4.0,Technology Viewpoint,Paradigm,Technological Concepts and Approaches,"Industry 4.0, also known as the fourth industrial revolution (4IR), represents the transition from traditional mechanical and analogue systems to advanced industrial processes characterized by the prevalence of cyber-physical systems, smart sensors, and cognitive computing. It builds upon the digital technology revolution of the third industrial revolution by enhancing interaction and integration between virtual and physical environments. This includes the use of digital models, digital shadows, and digital generators to simulate, store, and construct physical objects, respectively.",Item,5, https://doi.org/10.12688/f1000research.137262.1
Artificial Intelligence (AI),Technology Viewpoint,Tool,Technological Concepts and Approaches,"AI aims to enhance human capabilities and efficiency by using intelligent machines to manage society and reshape nature. The ultimate goal is to create a society where humans and machines coexist harmoniously. AI has evolved over time and is now applied in various fields such as computer vision, natural language processing, robotics, and machine learning. These disciplines have shifted away from older methods and now primarily rely on statistical modeling and learning techniques.",Item,116,doi.org/10.1109/ACCESS.2018.2819688
Machine Learning,Technology Viewpoint,Algorithm,Technological Concepts and Approaches,"Machine learning is the study of enabling computers to learn from data without explicit programming. A more formal definition states that a computer program learns from experience (E), with respect to a task (T), and performance measure (P), if its performance on T, as measured by P, improves with experience E. In various engineering fields, large datasets are analyzed using learning algorithms. Some types of machine learning algorithms include supervised learning, unsupervised learning, reinforcement learning, and recommender systems.",Item,117,doi.org/10.5120/20182-2402
Neural Networks,Technology Viewpoint,Algorithm,Technological Concepts and Approaches,"Neural networks are machine learning algorithms that mimic cognitive behavior using artificial neurons. They excel in modeling complex systems by automatically generating the best fit model through pattern recognition. With continuous training data, their accuracy improves over time.",category,118,doi.org/10.5120/20182-2402
Natural Language Processing,Technology Viewpoint,Algorithm,Technological Concepts and Approaches,"Natural language processing (NLP) involves machines processing and comprehending human communication, aiming to facilitate seamless interaction between humans and machines. Rather than requiring humans to adapt to machine communication methods, NLP allows machines to understand and adapt to human language, aligning with the goal of technology to simplify human lives. Situated at the intersection of artificial intelligence and linguistics, NLP, along with machine learning and deep learning, processes textual data into numerical format for analysis by various models. NLP capabilities include speech recognition, language understanding, and language generation, with applications spanning information extraction, personal voice assistants, sentiment analysis, chatbots, and more.",subcategory,119,doi.org/10.5120/20182-2402
Age of Information (AoI) metric,Technology Viewpoint,Metric,Technological Concepts and Approaches,The AoI is the amount of time that elapses after the generation of the most recent update before it is received at the destination.,Item,121,https://doi.org/10.3390/drones7040260
Continuous Integration Tools,Technology Viewpoint,Tool,Technological Concepts and Approaches,"Continuous Integration (CI) systems automate the compilation, building, and testing of software, fostering the regular delivery of executable releases that grow in functionality with each iteration, as initially conceptualized by Grady Booch in 1991 and later integrated into Extreme Programming (XP). The adoption of CI has yielded significant benefits, such as enabling Flickr to deploy to production over 10 times per day and reducing development costs by 78% for a product group at HP. This success has driven widespread interest, with over 300,000 projects utilizing services like Travis CI, and 50% of respondents in the State of Agile industry survey incorporating CI into their workflows. CI is recognized as a hallmark of high-performing IT organizations, as indicated by the State of DevOps report, and has seen a substantial increase in interest over the past decade according to Google Trends. Some benefits of CI include reducing concerns about breaking builds, identifying bugs earlier, facilitating cloud-based testing, enabling more frequent deployments, simplifying integration, providing testing in real-world staging environments, and reducing time spent on debugging.",subcategory,122,http://dx.doi.org/10.1145/2970276.2970358
Predictive Analytics,Technology Viewpoint,Discipline,Technological Concepts and Approaches,"Predictive analytics is an advanced data engineering discipline focused on forecasting occurrences or probabilities based on data analysis. It employs data-mining techniques to extract insights from historical data and generate predictions for future events. This process involves analyzing past data to anticipate and recommend potential future outcomes. Predictive analytics encompasses the application of data mining, modeling, and analytic methods to existing data to uncover patterns and make predictions. One type of predictive analytics, Predictive Risk Modeling (PRM), employs statistical methods to identify characteristics that stratify individuals based on their likelihood of experiencing specific outcomes or events, resulting in a risk score. Unlike traditional risk assessment methods, PRM examines numerous data points, even those without previously established relationships with the outcome of interest, to enhance predictive accuracy.",Item,124,https://doi.org/10.1016/j.childyouth.2017.06.027
